iter	Passed	Remaining
481	621	668
482	623	667
483	625	666
484	626	665
485	627	663
486	628	662
487	629	660
488	630	658
489	630	656
490	631	654
491	632	653
492	633	651
493	634	649
494	635	647
495	635	646
496	636	644
497	639	644
498	640	643
499	641	641
500	642	640
501	643	638
502	644	636
503	644	634
504	645	632
505	646	631
506	647	629
507	650	629
508	651	628
509	652	626
510	653	625
511	654	623
512	655	621
513	655	620
514	656	618
515	657	617
516	658	615
517	659	613
518	660	611
519	661	610
520	662	608
521	664	608
522	665	607
523	667	606
524	668	604
525	669	603
526	670	601
527	671	600
528	672	598
529	673	597
530	674	596
531	675	594
532	676	593
533	678	592
534	680	591
535	681	589
536	682	588
537	683	586
538	684	585
539	685	583
540	685	582
541	686	580
542	688	579
543	689	577
544	689	575
545	690	574
546	691	572
547	692	571
548	694	570
549	695	569
550	696	567
551	697	566
552	698	564
553	699	562
554	700	561
555	701	559
556	702	558
557	703	556
558	703	555
559	704	553
560	705	552
561	706	550
562	707	548
563	709	548
564	709	546
565	710	544
566	711	543
567	712	541
568	713	540
569	713	538
570	714	537
571	715	535
572	716	534
573	717	532
574	718	530
575	719	529
576	720	527
577	720	526
578	721	524
579	723	524
580	724	522
581	725	521
582	726	519
583	727	518
584	728	516
585	729	515
586	730	514
587	731	512
588	732	511
589	733	509
590	734	508
591	735	506
592	736	505
593	739	505
594	740	504
595	741	502
596	743	501
597	744	500
598	745	499
599	746	497
600	747	496
601	748	495
602	749	493
603	750	492
604	752	491
605	754	490
606	755	488
607	756	487
608	757	486
609	758	484
610	759	483
611	760	482
612	761	480
613	761	479
614	762	477
615	763	476
616	764	474
617	765	473
618	767	472
619	768	471
620	769	469
621	770	468
622	771	467
623	772	465
624	773	464
625	774	462
626	775	461
627	775	459
628	776	458
629	777	456
630	778	455
631	778	453
632	779	452
633	780	450
634	783	450
635	785	449
636	786	448
637	787	446
638	788	445
639	788	443
640	789	442
641	790	441
642	791	439
643	792	438
644	793	436
645	794	435
646	794	433
647	795	432
648	798	431
649	799	430
650	800	428
651	800	427
652	801	426
653	802	424
654	803	423
655	804	421
656	804	420
657	805	418
658	806	417
659	807	416
660	808	414
661	809	413
662	810	411
663	812	411
664	813	410
665	814	408
666	815	407
667	816	405
668	817	404
669	818	403
670	819	401
671	819	400
672	820	398
673	821	397
674	822	395
675	823	394
676	823	393
677	824	391
678	826	390
679	828	389
680	828	388
681	829	386
682	830	385
683	831	384
684	832	382
685	832	381
686	833	379
687	834	378
688	835	377
689	836	375
690	836	374
691	837	372
692	838	371
693	839	370
694	840	369
695	842	367
696	843	366
697	844	365
698	845	363
699	845	362
700	846	361
701	847	359
702	848	358
703	850	357
704	851	356
705	852	354
706	853	353
707	854	352
708	855	351
709	856	350
710	858	348
711	859	347
712	859	346
713	860	344
714	861	343
715	862	342
716	863	340
717	864	339
718	865	338
719	866	337
720	868	335
721	869	334
722	872	334
723	873	333
724	874	331
725	875	330
726	876	329
727	877	327
728	878	326
729	878	325
730	879	323
731	880	322
732	881	321
733	882	319
734	883	318
735	884	317
736	886	316
737	887	315
738	888	313
739	889	312
740	890	311
741	891	310
742	892	308
743	893	307
744	894	306
745	895	304
746	896	303
747	897	302
748	898	301
749	900	300
750	902	299
751	903	297
752	904	296
753	905	295
754	906	294
755	907	292
756	908	291
757	909	290
758	910	289
759	911	287
760	912	286
761	913	285
762	916	284
763	917	283
764	919	282
765	920	281
766	921	279
767	922	278
768	923	277
769	924	276
770	925	274
771	925	273
772	926	272
773	928	270
774	930	270
775	931	268
776	932	267
777	933	266
778	934	265
779	935	263
780	936	262
781	937	261
782	938	259
783	939	258
784	940	257
785	941	256
786	941	254
787	943	253
788	945	252
789	946	251
790	947	250
791	948	249
792	949	247
793	950	246
794	951	245
795	952	244
796	953	242
797	954	241
798	955	240
799	956	239
800	957	237
801	959	236
802	960	235
803	961	234
804	962	233
805	964	232
806	965	230
807	966	229
808	967	228
809	968	227
810	969	225
811	970	224
812	970	223
813	972	222
814	974	221
815	975	219
816	976	218
817	976	217
818	977	216
819	978	214
820	979	213
821	980	212
822	981	211
823	982	209
824	983	208
825	984	207
826	985	206
827	986	205
828	990	204
829	991	203
830	992	201
831	994	200
832	995	199
833	996	198
834	997	197
835	997	195
836	998	194
837	999	193
838	1000	192
839	1003	191
840	1005	190
841	1006	188
842	1007	187
843	1008	186
844	1008	185
845	1009	183
846	1010	182
847	1011	181
848	1012	180
849	1013	178
850	1014	177
851	1015	176
852	1019	175
853	1020	174
854	1021	173
855	1022	172
856	1023	170
857	1024	169
858	1025	168
859	1026	167
